Gene	Description	% Altered in PDXs
COL8A1	"collagen, type VIII, alpha 1"	13.9%
COL9A1	"collagen, type IX, alpha 1"	8.3%
CORIN	"corin, serine peptidase"	8.3%
CPAMD8	"C3 and PZP-like, alpha-2-macroglobulin domain containing 8"	5.6%
CPS1	"carbamoyl-phosphate synthetase 1, mitochondrial"	16.7%
CPXM2	"carboxypeptidase X (M14 family), member 2"	11.1%
CREBBP	CREB binding protein	8.3%
CRELD2	cysteine-rich with EGF-like domains 2	19.4%
CRNN	cornulin	8.3%
CRTAM	cytotoxic and regulatory T cell molecule	11.1%
CSMD3	CUB and Sushi multiple domains 3	38.9%
CSRP2BP	CSRP2 binding protein	5.6%
CST2	cystatin SA	19.4%
CST4	cystatin S	8.3%
CSTL1	cystatin-like 1	22.2%
CTNNB1	"catenin (cadherin-associated protein), beta 1, 88kDa"	11.1%
CWF19L1	"CWF19-like 1, cell cycle control (S. pombe)"	13.9%
CXCR5	chemokine (C-X-C motif) receptor 5	8.3%
CYP2A6	"cytochrome P450, family 2, subfamily A, polypeptide 6"	11.1%
CYP2A7	"cytochrome P450, family 2, subfamily A, polypeptide 7"	16.7%
CYP8B1	"cytochrome P450, family 8, subfamily B, polypeptide 1"	11.1%
CYTH3	cytohesin 3	5.6%
DAB2	"disabled homolog 2, mitogen-responsive phosphoprotein (Drosophila)"	13.9%
DALRD3	DALR anticodon binding domain containing 3	11.1%
DAO	D-amino-acid oxidase	11.1%
DBF4B	DBF4 homolog B (S. cerevisiae)	5.6%
DCAF4L2	WD repeat domain 21C	13.9%
DCAF6	IQ motif and WD repeats 1	11.1%
DCAKD	dephospho-CoA kinase domain containing	5.6%
DDR2	discoidin domain receptor tyrosine kinase 2	13.9%
DEFB115	"defensin, beta 115"	11.1%
DENND5B	DENN/MADD domain containing 5B	8.3%
DGCR8	DiGeorge syndrome critical region gene 8	16.7%
DHRS2	dehydrogenase/reductase (SDR family) member 2	11.1%
DHTKD1	dehydrogenase E1 and transketolase domain containing 1	5.6%
DHX58	DEXH (Asp-Glu-X-His) box polypeptide 58	5.6%
DIP2C	DIP2 disco-interacting protein 2 homolog C (Drosophila)	5.6%
DLGAP2	"discs, large (Drosophila) homolog-associated protein 2"	8.3%
DMBT1	deleted in malignant brain tumors 1	11.1%
DMKN	dermokine	36.1%
DMP1	dentin matrix acidic phosphoprotein 1	8.3%
DMWD	"dystrophia myotonica, WD repeat containing"	8.3%
DMXL2	Dmx-like 2	50.0%
DNAH1	"dynein, axonemal, heavy chain 1"	16.7%
DNAH10	"dynein, axonemal, heavy chain 10"	16.7%
DNAH11	"dynein, axonemal, heavy chain 11"	5.6%
DNAH12	"dynein, axonemal, heavy chain 12"	11.1%
DNAJA1	"DnaJ (Hsp40) homolog, subfamily A, member 1"	11.1%
DNASE1L3	deoxyribonuclease I-like 3	16.7%
DOCK3	dedicator of cytokinesis 3	22.2%
DOCK5	dedicator of cytokinesis 5	41.7%
DPAGT1	dolichyl-phosphate (UDP-N-acetylglucosamine) N-acetylglucosaminephosphotransferase 1 (GlcNAc-1-P transferase)	11.1%
DPEP3	dipeptidase 3	11.1%
DPP10	dipeptidyl-peptidase 10	5.6%
DPP3	dipeptidyl-peptidase 3	25.0%
DSC1	desmocollin 1	27.8%
DSCAML1	Down syndrome cell adhesion molecule like 1	13.9%
DSP	desmoplakin	13.9%
DTX2	deltex homolog 2 (Drosophila)	8.3%
DUOX1	dual oxidase 1	30.6%
DYNC1I1	"dynein, cytoplasmic 1, intermediate chain 1"	22.2%
DYSF	"dysferlin, limb girdle muscular dystrophy 2B (autosomal recessive)"	5.6%
ECD	ecdysoneless homolog (Drosophila)	8.3%
EEA1	early endosome antigen 1	11.1%
EGFR	"epidermal growth factor receptor (erythroblastic leukemia viral (v-erb-b) oncogene homolog, avian)"	13.9%
EHD2	EH-domain containing 2	5.6%
EHD4	EH-domain containing 4	30.6%
EIF2A	"eukaryotic translation initiation factor 2A, 65kDa"	44.4%
ELK3	"ELK3, ETS-domain protein (SRF accessory protein 2)"	8.3%
ELOVL4	"elongation of very long chain fatty acids (FEN1/Elo2, SUR4/Elo3, yeast)-like 4"	5.6%
EMILIN2	elastin microfibril interfacer 2	5.6%
EML6	echinoderm microtubule associated protein like 6	5.6%
ENKUR	"enkurin, TRPC channel interacting protein"	8.3%
EPHA5	EPH receptor A5	13.9%
ESRP1	epithelial splicing regulatory protein 1	11.1%
EXOSC4	exosome component 4	8.3%
EXPH5	exophilin 5	69.4%
FAM118B	"family with sequence similarity 118, member B"	5.6%
FAM135B	"family with sequence similarity 135, member B"	16.7%
FAM170B	"family with sequence similarity 170, member B"	13.9%
FAM171A1	"family with sequence similarity 171, member A1"	8.3%
FAM187B	"family with sequence similarity 187, member B"	5.6%
FAM5C	"family with sequence similarity 5, member C"	25.0%
FAM71B	"family with sequence similarity 71, member B"	8.3%
FAM83B	"family with sequence similarity 83, member B"	5.6%
FAM83C	"family with sequence similarity 83, member C"	11.1%
FANK1	fibronectin type III and ankyrin repeat domains 1	8.3%
FAP	"fibroblast activation protein, alpha"	5.6%
FAT1	FAT tumor suppressor homolog 1 (Drosophila)	13.9%
FAT2	FAT tumor suppressor homolog 2 (Drosophila)	13.9%
FBLN2	fibulin 2	5.6%
FBN3	fibrillin 3	30.6%
FBXO36	F-box protein 36	38.9%
FBXO38	F-box protein 38	27.8%
FCHO2	FCH domain only 2	5.6%
FCHSD2	FCH and double SH3 domains 2	5.6%
FCRL2	Fc receptor-like 2	11.1%
FCRL5	Fc receptor-like 5	11.1%
FFAR3	free fatty acid receptor 3	38.9%
FGA	fibrinogen alpha chain	16.7%
FGL1	fibrinogen-like 1	11.1%
FHL2	four and a half LIM domains 2	5.6%
FILIP1	filamin A interacting protein 1	5.6%
FLI1	Friend leukemia virus integration 1	5.6%
FLII	flightless I homolog (Drosophila)	5.6%
FLNC	"filamin C, gamma (actin binding protein 280)"	5.6%
FMO3	flavin containing monooxygenase 3	5.6%
FOLR1	folate receptor 1 (adult)	5.6%
FRS2	fibroblast growth factor receptor substrate 2	22.2%
FSCB	fibrous sheath CABYR binding protein	16.7%
FUBP1	far upstream element (FUSE) binding protein 1	5.6%
FZD10	frizzled homolog 10 (Drosophila)	13.9%
G6PC2	"glucose-6-phosphatase, catalytic, 2"	11.1%
GAB4	"GRB2-associated binding protein family, member 4"	5.6%
GAD2	"glutamate decarboxylase 2 (pancreatic islets and brain, 65kDa)"	11.1%
GALNTL6	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase-like 6	8.3%
GAP43	growth associated protein 43	8.3%
GATA3	GATA binding protein 3	8.3%
GATA6	GATA binding protein 6	8.3%
GBE1	"glucan (1,4-alpha-), branching enzyme 1"	16.7%
GBP4	guanylate binding protein 4	33.3%
GDAP1	ganglioside-induced differentiation-associated protein 1	8.3%
GDF5	growth differentiation factor 5	8.3%
GHR	growth hormone receptor	8.3%
GIMAP6	"GTPase, IMAP family member 6"	25.0%
GJA10	"gap junction protein, alpha 10, 62kDa"	5.6%
GLIS2	GLIS family zinc finger 2	8.3%
GLYATL2	glycine-N-acyltransferase-like 2	13.9%
GNAS	GNAS complex locus	8.3%
GNAT3	"guanine nucleotide binding protein, alpha transducing 3"	5.6%
GNMT	glycine N-methyltransferase	5.6%
GOLGB1	"golgin B1, golgi integral membrane protein"	5.6%
GPA33	glycoprotein A33 (transmembrane)	11.1%
GPD1L	glycerol-3-phosphate dehydrogenase 1-like	5.6%
GPR125	G protein-coupled receptor 125	30.6%
GPR128	G protein-coupled receptor 128	11.1%
GPR15	G protein-coupled receptor 15	11.1%
GPR161	G protein-coupled receptor 161	11.1%
GREB1	GREB1 protein	11.1%
GRIK2	"glutamate receptor, ionotropic, kainate 2"	5.6%
GRM7	"glutamate receptor, metabotropic 7"	8.3%
GRM8	"glutamate receptor, metabotropic 8"	5.6%
GTF2IRD1	GTF2I repeat domain containing 1	5.6%
GUK1	guanylate kinase 1	5.6%
GZMB	"granzyme B (granzyme 2, cytotoxic T-lymphocyte-associated serine esterase 1)"	33.3%
HAPLN1	hyaluronan and proteoglycan link protein 1	5.6%
HAVCR2	hepatitis A virus cellular receptor 2	5.6%
HEATR5A	HEAT repeat containing 5A	19.4%
HELLS	"helicase, lymphoid-specific"	5.6%
HEXDC	"hexosaminidase (glycosyl hydrolase family 20, catalytic domain) containing"	8.3%
HIPK2	homeodomain interacting protein kinase 2; similar to homeodomain interacting protein kinase 2	5.6%
HIST1H3F	"histone cluster 1, H3j; histone cluster 1, H3i; histone cluster 1, H3h; histone cluster 1, H3g; histone cluster 1, H3f; histone cluster 1, H3e; histone cluster 1, H3d; histone cluster 1, H3c; histone cluster 1, H3b; histone cluster 1, H3a; histone cluster 1, H2ad; histone cluster 2, H3a; histone cluster 2, H3c; histone cluster 2, H3d"	8.3%
HPDL	4-hydroxyphenylpyruvate dioxygenase-like	5.6%
HTR1B	5-hydroxytryptamine (serotonin) receptor 1B	13.9%
HTR1F	5-hydroxytryptamine (serotonin) receptor 1F	13.9%
HTR4	5-hydroxytryptamine (serotonin) receptor 4	13.9%
HTR6	5-hydroxytryptamine (serotonin) receptor 6	22.2%
HYAL1	hyaluronoglucosaminidase 1	11.1%
HYOU1	hypoxia up-regulated 1	11.1%
IFIT3	interferon-induced protein with tetratricopeptide repeats 3	5.6%
IFLTD1	intermediate filament tail domain containing 1	11.1%
IL26	interleukin 26	5.6%
IL32	interleukin 32	30.6%
IMPG1	interphotoreceptor matrix proteoglycan 1	13.9%
IMPG2	interphotoreceptor matrix proteoglycan 2	13.9%
INPP4B	"inositol polyphosphate-4-phosphatase, type II, 105kDa"	19.4%
INTS4	integrator complex subunit 4	5.6%
IP6K2	inositol hexakisphosphate kinase 2	11.1%
IP6K3	inositol hexakisphosphate kinase 3	5.6%
IQCA1	IQ motif containing with AAA domain 1	5.6%
IQCB1	IQ motif containing B1	5.6%
ITGA10	"integrin, alpha 10"	30.6%
ITGAM	"integrin, alpha M (complement component 3 receptor 3 subunit)"	8.3%
ITIH1	inter-alpha (globulin) inhibitor H1	13.9%
ITIH2	inter-alpha (globulin) inhibitor H2	11.1%
ITIH5	inter-alpha (globulin) inhibitor H5	11.1%
ITSN1	intersectin 1 (SH3 domain protein)	5.6%
IVL	involucrin	13.9%
IZUMO2	NA	5.6%
JAKMIP1	Janus kinase and microtubule interacting protein 1	8.3%
KALRN	"kalirin, RhoGEF kinase"	5.6%
KCNA3	"potassium voltage-gated channel, shaker-related subfamily, member 3"	11.1%
KCNB2	"potassium voltage-gated channel, Shab-related subfamily, member 2"	8.3%
KCNC1	"potassium voltage-gated channel, Shaw-related subfamily, member 1"	22.2%
KCNH1	"potassium voltage-gated channel, subfamily H (eag-related), member 1"	5.6%
KCNK4	"potassium channel, subfamily K, member 4"	5.6%
KCNMA1	"potassium large conductance calcium-activated channel, subfamily M, alpha member 1"	5.6%
KCNN1	"potassium intermediate/small conductance calcium-activated channel, subfamily N, member 1"	5.6%
KCTD5	potassium channel tetramerisation domain containing 5	8.3%
KDM3A	lysine (K)-specific demethylase 3A	5.6%
KDM4B	lysine (K)-specific demethylase 4B	5.6%
KHDRBS2	"KH domain containing, RNA binding, signal transduction associated 2"	5.6%
KIAA0232	KIAA0232	11.1%
KIAA0355	KIAA0355	16.7%
KIAA1024	KIAA1024	5.6%
KIAA1161	KIAA1161	13.9%
KIAA1199	KIAA1199	5.6%
KIAA1211	KIAA1211	11.1%
KIAA1377	KIAA1377	5.6%
KIAA1462	KIAA1462	8.3%
KIAA2018	KIAA2018	11.1%
KIF1C	kinesin family member 1C	5.6%
KIF21A	kinesin family member 21A	11.1%
KIF24	kinesin family member 24	13.9%
KIF2B	kinesin family member 2B	5.6%
KIF5A	kinesin family member 5A	5.6%
KIFAP3	kinesin-associated protein 3	13.9%
KIR2DL3	"killer cell immunoglobulin-like receptor, two domains, long cytoplasmic tail, 3"	50.0%
KIRREL3	kin of IRRE like 3 (Drosophila)	5.6%
KLF17	Kruppel-like factor 17	41.7%
KLF6	Kruppel-like factor 6	5.6%
KLHL11	kelch-like 11 (Drosophila)	5.6%
KLHL38	kelch-like 38 (Drosophila)	19.4%
KLKB1	"kallikrein B, plasma (Fletcher factor) 1"	5.6%
KNDC1	kinase non-catalytic C-lobe domain (KIND) containing 1	8.3%
KPRP	keratinocyte proline-rich protein	16.7%
KRT27	keratin 27	8.3%
KRT34	keratin 34	5.6%
KRT36	keratin 36	5.6%
KRT38	keratin 38	5.6%
KRTAP4-11	keratin associated protein 4-6; keratin associated protein 4-7; keratin associated protein 4-8; keratin associated protein 4-11	22.2%
KRTCAP3	keratinocyte associated protein 3	5.6%
KYNU	kynureninase (L-kynurenine hydrolase)	5.6%
LAMA2	"laminin, alpha 2"	27.8%
LAMB2	"laminin, beta 2 (laminin S)"	11.1%
LELP1	late cornified envelope-like proline-rich 1	11.1%
LHX8	LIM homeobox 8	8.3%
LILRB1	"leukocyte immunoglobulin-like receptor, subfamily B (with TM and ITIM domains), member 1"	13.9%
LILRB4	"leukocyte immunoglobulin-like receptor, subfamily B (with TM and ITIM domains), member 4"	52.8%
LIMS1	LIM and senescent cell antigen-like domains 1	16.7%
LINGO2	leucine rich repeat and Ig domain containing 2	13.9%
LMTK3	lemur tyrosine kinase 3	5.6%
LOXHD1	lipoxygenase homology domains 1	22.2%
LPHN3	latrophilin 3	5.6%
LRFN2	leucine rich repeat and fibronectin type III domain containing 2	5.6%
LRFN5	leucine rich repeat and fibronectin type III domain containing 5	16.7%
LRIG1	leucine-rich repeats and immunoglobulin-like domains 1	11.1%
LRP6	low density lipoprotein receptor-related protein 6	11.1%
LRRC66	leucine rich repeat containing 66	8.3%
LRRC7	leucine rich repeat containing 7	11.1%
LRRIQ1	leucine-rich repeats and IQ motif containing 1	11.1%
MACF1	microtubule-actin crosslinking factor 1	30.6%
MAML2	mastermind-like 2 (Drosophila)	5.6%
MAN1B1	"mannosidase, alpha, class 1B, member 1"	5.6%
MANBA	"mannosidase, beta A, lysosomal"	63.9%
MANEA	"mannosidase, endo-alpha"	22.2%
MASTL	microtubule associated serine/threonine kinase-like	8.3%
MATN4	matrilin 4	8.3%
MBD5	methyl-CpG binding domain protein 5	13.9%
MBIP	MAP3K12 binding inhibitory protein 1	22.2%
MCF2L2	MCF.2 cell line derived transforming sequence-like 2	41.7%
MDGA2	MAM domain containing glycosylphosphatidylinositol anchor 2	16.7%
MDN1	"MDN1, midasin homolog (yeast)"	13.9%
MED12L	mediator complex subunit 12-like	16.7%
MED13L	mediator complex subunit 13-like	11.1%
MED17	mediator complex subunit 17	8.3%
MEGF11	multiple EGF-like-domains 11	5.6%
MEIS2	Meis homeobox 2	13.9%
METTL13	methyltransferase like 13	25.0%
MFAP5	microfibrillar associated protein 5	8.3%
MFRP	membrane frizzled-related protein	11.1%
MGAM	maltase-glucoamylase (alpha-glucosidase)	5.6%
MIA2	melanoma inhibitory activity 2	30.6%
MKI67IP	MKI67 (FHA domain) interacting nucleolar phosphoprotein	11.1%
MKL1	megakaryoblastic leukemia (translocation) 1	50.0%
MKRN3	makorin ring finger protein 3	19.4%
MLH1	"mutL homolog 1, colon cancer, nonpolyposis type 2 (E. coli)"	38.9%
MLL	"myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila)"	33.3%
MMP16	matrix metallopeptidase 16 (membrane-inserted)	13.9%
MMP27	matrix metallopeptidase 27	5.6%
MOB2	HCCA2 protein	55.6%
MORF4L1	mortality factor 4; mortality factor 4 like 1	25.0%
MORN3	MORN repeat containing 3	11.1%
MPP7	"membrane protein, palmitoylated 7 (MAGUK p55 subfamily member 7)"	5.6%
MR1	"major histocompatibility complex, class I-related"	25.0%
MRGPRD	"MAS-related GPR, member D"	8.3%
MRPL24	mitochondrial ribosomal protein L24	8.3%
MRPL28	mitochondrial ribosomal protein L28	11.1%
MS4A13	"membrane-spanning 4-domains, subfamily A, member 13"	5.6%
MSL2	male-specific lethal 2 homolog (Drosophila)	16.7%
MTAP	methylthioadenosine phosphorylase	63.9%
MTF2	metal response element binding transcription factor 2	16.7%
MTMR3	myotubularin related protein 3	5.6%
MXD4	MAX dimerization protein 4	5.6%
MYF5	myogenic factor 5	11.1%
MYF6	myogenic factor 6 (herculin)	13.9%
MYH8	"myosin, heavy chain 8, skeletal muscle, perinatal"	8.3%
MYL2	"myosin, light chain 2, regulatory, cardiac, slow"	11.1%
MYLK	myosin light chain kinase	5.6%
MYLK3	myosin light chain kinase 3	58.3%
MYO15A	myosin XVA	13.9%
MYOD1	myogenic differentiation 1	5.6%
MYT1	myelin transcription factor 1	11.1%
NARF	nuclear prelamin A recognition factor	11.1%
NBAS	neuroblastoma amplified sequence	13.9%
NBEA	neurobeachin	19.4%
NCOA2	nuclear receptor coactivator 2	11.1%
NCSTN	nicastrin	16.7%
NDN	necdin homolog (mouse)	13.9%
NDUFAF3	"NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, assembly factor 3"	8.3%
NDUFC2	"NADH dehydrogenase (ubiquinone) 1, subcomplex unknown, 2, 14.5kDa"	5.6%
NEB	nebulin	41.7%
NEFM	"neurofilament, medium polypeptide"	13.9%
NES	nestin	11.1%
NEU3	sialidase 3 (membrane sialidase)	5.6%
NFE2L2	nuclear factor (erythroid-derived 2)-like 2	13.9%
NFYB	"nuclear transcription factor Y, beta"	11.1%
NGFR	"nerve growth factor receptor (TNFR superfamily, member 16)"	8.3%
NGLY1	N-glycanase 1	5.6%
NIN	ninein (GSK3B interacting protein)	11.1%
NLRC5	"NLR family, CARD domain containing 5"	8.3%
NLRP3	"NLR family, pyrin domain containing 3"	8.3%
NLRP4	"NLR family, pyrin domain containing 4"	16.7%
NLRP5	"NLR family, pyrin domain containing 5"	16.7%
NMS	neuromedin S	36.1%
NOP10	NOP10 ribonucleoprotein homolog (yeast)	11.1%
NOX4	NADPH oxidase 4	8.3%
NPC1	"Niemann-Pick disease, type C1"	5.6%
NQO1	"NAD(P)H dehydrogenase, quinone 1"	38.9%
NRAP	nebulin-related anchoring protein	75.0%
NSFL1C	NSFL1 (p97) cofactor (p47)	5.6%
NTNG1	netrin G1	38.9%
NTRK3	"neurotrophic tyrosine kinase, receptor, type 3"	13.9%
NTSR1	neurotensin receptor 1 (high affinity)	8.3%
NUDT6	nudix (nucleoside diphosphate linked moiety X)-type motif 6	19.4%
NUDT9	nudix (nucleoside diphosphate linked moiety X)-type motif 9	5.6%
NUP210	nucleoporin 210kDa	5.6%
NXF1	nuclear RNA export factor 1	5.6%
OR10H4	"olfactory receptor, family 10, subfamily H, member 4"	30.6%
OR10K2	"olfactory receptor, family 10, subfamily K, member 2"	11.1%
OR10R2	"olfactory receptor, family 10, subfamily R, member 2"	75.0%
OR13A1	"olfactory receptor, family 13, subfamily A, member 1"	11.1%
OR13C2	"olfactory receptor, family 13, subfamily C, member 2"	8.3%
OR13C5	"olfactory receptor, family 13, subfamily C, member 5"	5.6%
OR13D1	"olfactory receptor, family 13, subfamily D, member 1"	5.6%
OR13F1	"olfactory receptor, family 13, subfamily F, member 1"	8.3%
OR14C36	"olfactory receptor, family 14, subfamily C, member 36"	61.1%
OR1F1	"olfactory receptor, family 1, subfamily F, member 1"	58.3%
